time,wind_speed,wind_dir,issue_time,lead_hours
2022-01-01 00:00:00,24.1,273,2022-01-01,0.0
2022-01-01 01:00:00,23.8,270,2022-01-01,1.0
2022-01-01 02:00:00,25.2,272,2022-01-01,2.0
2022-01-01 03:00:00,24.1,280,2022-01-01,3.0
2022-01-01 04:00:00,21.4,287,2022-01-01,4.0
2022-01-01 05:00:00,18.7,289,2022-01-01,5.0
2022-01-01 06:00:00,17.8,284,2022-01-01,6.0
2022-01-01 07:00:00,17.9,285,2022-01-01,7.0
2022-01-01 08:00:00,17.3,287,2022-01-01,8.0
2022-01-01 09:00:00,17.5,289,2022-01-01,9.0
2022-01-01 10:00:00,15.5,312,2022-01-01,10.0
2022-01-01 11:00:00,13.6,348,2022-01-01,11.0
2022-01-01 12:00:00,11.8,27,2022-01-01,12.0
2022-01-01 13:00:00,12.5,51,2022-01-01,13.0
2022-01-01 14:00:00,10.8,64,2022-01-01,14.0
2022-01-01 15:00:00,9.0,92,2022-01-01,15.0
2022-01-01 16:00:00,11.1,119,2022-01-01,16.0
2022-01-01 17:00:00,14.3,133,2022-01-01,17.0
2022-01-01 18:00:00,16.5,136,2022-01-01,18.0
2022-01-01 19:00:00,18.7,142,2022-01-01,19.0
2022-01-01 20:00:00,19.9,148,2022-01-01,20.0
2022-01-01 21:00:00,21.2,159,2022-01-01,21.0
2022-01-01 22:00:00,20.2,175,2022-01-01,22.0
2022-01-01 23:00:00,24.7,188,2022-01-01,23.0
2022-01-02 00:00:00,27.1,202,2022-01-02,0.0
2022-01-02 01:00:00,29.1,214,2022-01-02,1.0
2022-01-02 02:00:00,28.7,218,2022-01-02,2.0
2022-01-02 03:00:00,30.1,222,2022-01-02,3.0
2022-01-02 04:00:00,30.4,230,2022-01-02,4.0
2022-01-02 05:00:00,30.8,227,2022-01-02,5.0
2022-01-02 06:00:00,28.6,234,2022-01-02,6.0
2022-01-02 07:00:00,28.4,234,2022-01-02,7.0
2022-01-02 08:00:00,26.3,240,2022-01-02,8.0
2022-01-02 09:00:00,26.8,246,2022-01-02,9.0
2022-01-02 10:00:00,24.7,247,2022-01-02,10.0
2022-01-02 11:00:00,26.1,246,2022-01-02,11.0
2022-01-02 12:00:00,28.0,246,2022-01-02,12.0
2022-01-02 13:00:00,22.5,250,2022-01-02,13.0
2022-01-02 14:00:00,21.5,239,2022-01-02,14.0
2022-01-02 15:00:00,19.7,232,2022-01-02,15.0
2022-01-02 16:00:00,18.9,246,2022-01-02,16.0
2022-01-02 17:00:00,37.3,253,2022-01-02,17.0
2022-01-02 18:00:00,31.9,256,2022-01-02,18.0
2022-01-02 19:00:00,35.2,252,2022-01-02,19.0
2022-01-02 20:00:00,38.4,253,2022-01-02,20.0
2022-01-02 21:00:00,36.0,278,2022-01-02,21.0
2022-01-02 22:00:00,39.8,286,2022-01-02,22.0
2022-01-02 23:00:00,34.6,284,2022-01-02,23.0
2022-01-03 00:00:00,31.0,279,2022-01-03,0.0
2022-01-03 01:00:00,30.3,275,2022-01-03,1.0
2022-01-03 02:00:00,27.0,271,2022-01-03,2.0
2022-01-03 03:00:00,26.4,264,2022-01-03,3.0
2022-01-03 04:00:00,25.2,268,2022-01-03,4.0
2022-01-03 05:00:00,24.9,268,2022-01-03,5.0
2022-01-03 06:00:00,25.6,267,2022-01-03,6.0
2022-01-03 07:00:00,26.0,260,2022-01-03,7.0
2022-01-03 08:00:00,28.2,256,2022-01-03,8.0
2022-01-03 09:00:00,31.4,257,2022-01-03,9.0
2022-01-03 10:00:00,33.4,262,2022-01-03,10.0
2022-01-03 11:00:00,32.0,258,2022-01-03,11.0
2022-01-03 12:00:00,33.0,259,2022-01-03,12.0
2022-01-03 13:00:00,32.7,256,2022-01-03,13.0
2022-01-03 14:00:00,37.0,257,2022-01-03,14.0
2022-01-03 15:00:00,35.0,255,2022-01-03,15.0
2022-01-03 16:00:00,35.1,255,2022-01-03,16.0
2022-01-03 17:00:00,36.0,252,2022-01-03,17.0
2022-01-03 18:00:00,35.8,248,2022-01-03,18.0
2022-01-03 19:00:00,34.9,248,2022-01-03,19.0
2022-01-03 20:00:00,35.8,248,2022-01-03,20.0
2022-01-03 21:00:00,35.9,244,2022-01-03,21.0
2022-01-03 22:00:00,37.0,242,2022-01-03,22.0
2022-01-03 23:00:00,37.2,240,2022-01-03,23.0
2022-01-04 00:00:00,34.5,243,2022-01-04,0.0
2022-01-04 01:00:00,34.6,242,2022-01-04,1.0
2022-01-04 02:00:00,35.0,241,2022-01-04,2.0
2022-01-04 03:00:00,34.9,244,2022-01-04,3.0
2022-01-04 04:00:00,33.0,242,2022-01-04,4.0
2022-01-04 05:00:00,30.9,238,2022-01-04,5.0
2022-01-04 06:00:00,30.3,235,2022-01-04,6.0
2022-01-04 07:00:00,31.0,234,2022-01-04,7.0
2022-01-04 08:00:00,29.2,232,2022-01-04,8.0
2022-01-04 09:00:00,29.4,230,2022-01-04,9.0
2022-01-04 10:00:00,31.2,231,2022-01-04,10.0
2022-01-04 11:00:00,27.9,231,2022-01-04,11.0
2022-01-04 12:00:00,24.0,227,2022-01-04,12.0
2022-01-04 13:00:00,22.2,223,2022-01-04,13.0
2022-01-04 14:00:00,23.4,226,2022-01-04,14.0
2022-01-04 15:00:00,26.0,225,2022-01-04,15.0
2022-01-04 16:00:00,25.2,248,2022-01-04,16.0
2022-01-04 17:00:00,24.5,256,2022-01-04,17.0
2022-01-04 18:00:00,20.5,298,2022-01-04,18.0
2022-01-04 19:00:00,19.8,289,2022-01-04,19.0
2022-01-04 20:00:00,20.9,274,2022-01-04,20.0
2022-01-04 21:00:00,27.4,270,2022-01-04,21.0
2022-01-04 22:00:00,28.2,265,2022-01-04,22.0
2022-01-04 23:00:00,27.9,256,2022-01-04,23.0
2022-01-05 00:00:00,26.8,258,2022-01-05,0.0
2022-01-05 01:00:00,29.2,260,2022-01-05,1.0
2022-01-05 02:00:00,29.6,257,2022-01-05,2.0
2022-01-05 03:00:00,30.7,254,2022-01-05,3.0
2022-01-05 04:00:00,28.5,244,2022-01-05,4.0
2022-01-05 05:00:00,30.5,235,2022-01-05,5.0
2022-01-05 06:00:00,33.1,235,2022-01-05,6.0
2022-01-05 07:00:00,33.9,233,2022-01-05,7.0
