lead_hours,MAE,RMSE,Bias,count
0.0,0.0,0.0,0.0,31
1.0,0.0,0.0,0.0,31
2.0,0.0,0.0,0.0,31
3.0,0.0,0.0,0.0,31
4.0,0.0,0.0,0.0,31
5.0,0.0,0.0,0.0,31
6.0,0.0,0.0,0.0,31
7.0,0.0,0.0,0.0,31
8.0,0.0,0.0,0.0,31
9.0,0.0,0.0,0.0,31
10.0,0.0,0.0,0.0,31
11.0,0.0,0.0,0.0,31
12.0,0.0,0.0,0.0,31
13.0,0.0,0.0,0.0,31
14.0,0.0,0.0,0.0,31
15.0,0.0,0.0,0.0,31
16.0,0.0,0.0,0.0,31
17.0,0.0,0.0,0.0,31
18.0,0.0,0.0,0.0,31
19.0,0.0,0.0,0.0,31
20.0,0.0,0.0,0.0,31
21.0,0.0,0.0,0.0,31
22.0,0.0,0.0,0.0,31
23.0,0.0,0.0,0.0,31
